Ligand,Receptor,score
WBGene00000915,WBGene00000567,1.0
WBGene00014807,WBGene00000567,1.0
WBGene00002008,WBGene00000567,1.0
WBGene00006951,WBGene00004208,1.0
WBGene00015128,WBGene00014200,1.0
WBGene00006444,WBGene00000415,1.0
WBGene00001609,WBGene00006993,1.0
WBGene00006727,WBGene00000301,1.0
WBGene00017937,WBGene00006993,1.0
WBGene00001696,WBGene00014200,1.0
WBGene00003918,WBGene00006779,1.0
WBGene00001403,WBGene00006993,1.0
WBGene00003964,WBGene00006993,1.0
WBGene00001971,WBGene00006993,1.0
WBGene00003242,WBGene00007103,1.0
WBGene00017937,WBGene00007103,1.0
WBGene00020702,WBGene00007103,1.0
WBGene00000693,WBGene00000900,1.0
WBGene00017937,WBGene00000900,1.0
WBGene00000608,WBGene00000900,1.0
WBGene00001771,WBGene00006432,1.0
WBGene00006950,WBGene00001581,1.0
WBGene00006950,WBGene00019017,1.0
WBGene00006787,WBGene00011935,1.0
,WBGene00009717,1.0
WBGene00006869,WBGene00006942,1.0
,WBGene00005039,1.0
WBGene00004264,,1.0
WBGene00006947,,1.0
WBGene00006956,,1.0
WBGene00001690,,1.0
WBGene00001706,,1.0
WBGene00001710,,1.0
WBGene00044279,,1.0
WBGene00001984,,1.0
WBGene00000493,,1.0
WBGene00004211,,1.0
WBGene00013312,,1.0
,WBGene00004208,1.0
,WBGene00004210,1.0
WBGene00000920,WBGene00000898,1.0
WBGene00002084,WBGene00000898,1.0
WBGene00002089,WBGene00000898,1.0
WBGene00002090,WBGene00000898,1.0
WBGene00002101,WBGene00000898,1.0
WBGene00002085,WBGene00000898,1.0
WBGene00002086,WBGene00000898,1.0
WBGene00002087,WBGene00000898,1.0
WBGene00002088,WBGene00000898,1.0
WBGene00002091,WBGene00000898,1.0
WBGene00002092,WBGene00000898,1.0
WBGene00002093,WBGene00000898,1.0
WBGene00002094,WBGene00000898,1.0
WBGene00002095,WBGene00000898,1.0
WBGene00002096,WBGene00000898,1.0
WBGene00002097,WBGene00000898,1.0
WBGene00002098,WBGene00000898,1.0
WBGene00002099,WBGene00000898,1.0
WBGene00002100,WBGene00000898,1.0
WBGene00002102,WBGene00000898,1.0
WBGene00002103,WBGene00000898,1.0
WBGene00002104,WBGene00000898,1.0
WBGene00002105,WBGene00000898,1.0
WBGene00002106,WBGene00000898,1.0
WBGene00002107,WBGene00000898,1.0
WBGene00002108,WBGene00000898,1.0
WBGene00002109,WBGene00000898,1.0
WBGene00002110,WBGene00000898,1.0
WBGene00002111,WBGene00000898,1.0
WBGene00002112,WBGene00000898,1.0
WBGene00002113,WBGene00000898,1.0
WBGene00002114,WBGene00000898,1.0
WBGene00002115,WBGene00000898,1.0
WBGene00002116,WBGene00000898,1.0
WBGene00002117,WBGene00000898,1.0
WBGene00002118,WBGene00000898,1.0
WBGene00002119,WBGene00000898,1.0
WBGene00002120,WBGene00000898,1.0
WBGene00002121,WBGene00000898,1.0
WBGene00017668,WBGene00000898,1.0
WBGene00002246,WBGene00001609,1.0
WBGene00000168,WBGene00003001,1.0
WBGene00000185,WBGene00003001,1.0
WBGene00001104,WBGene00003001,1.0
WBGene00001105,WBGene00003001,1.0
WBGene00001106,WBGene00003001,1.0
WBGene00001107,WBGene00003001,1.0
WBGene00001108,WBGene00003001,1.0
WBGene00001109,WBGene00003001,1.0
WBGene00000168,WBGene00001609,1.0
WBGene00000185,WBGene00001609,1.0
WBGene00001103,WBGene00001609,1.0
WBGene00001104,WBGene00001609,1.0
WBGene00001105,WBGene00001609,1.0
WBGene00001106,WBGene00001609,1.0
WBGene00001107,WBGene00001609,1.0
WBGene00001108,WBGene00001609,1.0
WBGene00001109,WBGene00001609,1.0
WBGene00006852,WBGene00006745,1.0
WBGene00006570,,1.0
WBGene00021594,,1.0
WBGene00000936,WBGene00020649,1.0
WBGene00000936,WBGene00007103,1.0
WBGene00000936,WBGene00003056,1.0
,WBGene00003397,1.0
,WBGene00003006,1.0
,WBGene00003238,1.0
,WBGene00000478,1.0
,WBGene00000289,1.0
,WBGene00003007,1.0
WBGene00003395,,1.0
WBGene00003029,,1.0
WBGene00001188,,1.0
WBGene00000857,,1.0
WBGene00000858,,1.0
WBGene00002181,WBGene00004732,1.0
WBGene00019407,WBGene00011345,1.0
WBGene00003774,WBGene00011345,1.0
WBGene00001165,WBGene00004729,1.0
WBGene00003111,WBGene00004729,1.0
WBGene00001263,,1.0
WBGene00002280,,1.0
WBGene00000527,,1.0
WBGene00001403,,1.0
WBGene00001863,,1.0
WBGene00002248,,1.0
WBGene00001328,,1.0
WBGene00002247,,1.0
WBGene00016913,,1.0
WBGene00003738,,1.0
WBGene00003893,,1.0
WBGene00003242,,1.0
WBGene00006787,,1.0
,,1.0
WBGene00001263,WBGene00017381,1.0
WBGene00003165,WBGene00003168,1.0
WBGene00003169,WBGene00003168,1.0
WBGene00003173,WBGene00003168,1.0
WBGene00003165,WBGene00003174,1.0
WBGene00003169,WBGene00003174,1.0
WBGene00003173,WBGene00003174,1.0
WBGene00001980,WBGene00001980,1.0
,WBGene00004211,1.0
WBGene00003001,WBGene00000168,1.0
WBGene00003001,WBGene00001106,1.0
WBGene00001609,WBGene00000168,1.0
WBGene00001609,WBGene00001106,1.0
,WBGene00001403,1.0
